                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70432,                 1.8144,                 1.0921,                0.97872,                0.98683,                0.99304,                 0.8564,                0.54758,                0.95933,                 1.0063,             0.00020809,             0.00020809,             0.00020809
                      2,                0.64324,                0.79852,                 1.0219,                0.98819,                0.99083,                 0.9928,                0.88219,                0.50092,                0.49216,                0.97757,             0.00039581,             0.00039581,             0.00039581
                      3,                0.61924,                0.58735,                 1.0058,                0.99584,                  0.994,                0.99397,                0.87952,                0.51081,                0.38112,                0.96403,             0.00056291,             0.00056291,             0.00056291
                      4,                0.60268,                 0.5049,                0.99909,                0.99554,                0.99564,                0.99402,                0.89525,                0.46769,                 0.3271,                0.94401,             0.00053219,             0.00053219,             0.00053219
                      5,                0.56136,                0.44006,                0.97945,                0.99634,                0.99731,                0.99427,                0.90642,                0.44556,                0.29418,                0.92512,             0.00050125,             0.00050125,             0.00050125
                      6,                0.53772,                0.41048,                0.96821,                0.99604,                0.99719,                0.99416,                0.92218,                0.40622,                0.27083,                0.90304,             0.00047031,             0.00047031,             0.00047031
                      7,                0.52502,                 0.3813,                0.96529,                0.99674,                0.99799,                0.99446,                0.92597,                0.39305,                0.24971,                0.89551,             0.00043937,             0.00043937,             0.00043937
                      8,                0.50624,                0.36612,                0.95689,                0.99726,                0.99716,                0.99432,                0.93131,                0.37883,                0.23847,                0.88542,             0.00040844,             0.00040844,             0.00040844
                      9,                0.49336,                0.35028,                0.95228,                0.99662,                0.99785,                0.99442,                0.93665,                0.37101,                0.23358,                0.88111,              0.0003775,              0.0003775,              0.0003775
                     10,                0.47788,                0.33472,                 0.9463,                0.99787,                0.99847,                0.99432,                 0.9415,                0.35787,                0.22264,                0.86835,             0.00034656,             0.00034656,             0.00034656
                     11,                 0.3653,                0.25277,                0.89618,                 0.9972,                0.99769,                 0.9944,                0.94672,                 0.3438,                0.21472,                0.85988,             0.00031562,             0.00031562,             0.00031562
                     12,                  0.343,                0.23262,                0.88241,                0.99771,                0.99845,                0.99419,                0.95384,                0.32577,                 0.2043,                0.84965,             0.00028469,             0.00028469,             0.00028469
                     13,                 0.3261,                0.22106,                0.87308,                0.99784,                0.99829,                0.99434,                 0.9549,                0.32109,                0.19287,                0.84719,             0.00025375,             0.00025375,             0.00025375
                     14,                0.31537,                0.20803,                0.86535,                0.99853,                0.99902,                0.99434,                0.96208,                0.30998,                0.18973,                0.83851,             0.00022281,             0.00022281,             0.00022281
                     15,                0.30311,                0.19746,                0.86053,                0.99879,                0.99921,                0.99445,                0.96365,                0.29727,                0.18027,                0.83046,             0.00019188,             0.00019188,             0.00019188
                     16,                0.29405,                0.18967,                0.85512,                0.99865,                 0.9991,                0.99446,                0.96646,                0.28989,                0.17355,                0.82689,             0.00016094,             0.00016094,             0.00016094
                     17,                 0.2831,                0.18276,                0.85029,                0.99872,                0.99914,                0.99466,                 0.9687,                0.28123,                0.16688,                0.82211,                0.00013,                0.00013,                0.00013
                     18,                0.27302,                0.17443,                0.84568,                0.99872,                  0.999,                0.99452,                0.97189,                0.27284,                0.15982,                0.81745,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                0.26374,                0.16603,                 0.8428,                0.99884,                0.99916,                0.99448,                0.97176,                0.26908,                0.15548,                0.81525,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     20,                0.25638,                0.15878,                 0.8417,                0.99886,                0.99914,                0.99444,                0.97307,                0.26497,                0.15211,                 0.8138,             3.7188e-05,             3.7188e-05,             3.7188e-05
